i sys itr dvfs rapl read_5th read_10th read_50th read_90th read_95th read_99th measure_qps target_qps time joules rx_desc rx_bytes tx_desc tx_bytes instructions cycles ref_cycles llc_miss c1 c1e c3 c6 c7 num_interrupts
0 ebbrt_tuned 2 0xf00 135 38.1 38.9 44.1 55.7 59.4 65.8 39982.3 40000 20.0 940.7 1572353 178136664 2220215 202630998 8029038272.0 32819422227.0 73095912822.0 44462535.0 0.0 0.0 0.0 0.0 508425.0 2359345
0 ebbrt_tuned 2 0xf00 75 36.7 37.8 42.8 54.1 58.1 65.0 40016.4 40000 20.0 940.61 1574284 178142351 2221570 202088043 8012966797.0 33021590888.0 73508581488.0 45163559.0 0.0 0.0 0.0 0.0 508149.0 2362015
0 ebbrt_tuned 2 0xf00 55 37.5 38.0 43.1 54.4 58.6 65.4 40052.0 40000 20.0 940.26 1574870 178650129 2224152 203101204 8023402650.0 32721624871.0 72901311976.0 43911686.0 0.0 0.0 0.0 0.0 509132.0 2364045
0 ebbrt_tuned 2 0xf00 135 37.5 38.2 44.2 57.3 60.7 66.9 75053.2 75000 20.0 974.63 2826197 327642171 4169290 383759570 14602327916.0 55770249893.0 121517869846.0 79789199.0 0.0 0.0 0.0 0.0 515664.0 4275919
0 ebbrt_tuned 2 0xf00 75 37.1 37.9 43.6 56.3 60.0 66.0 75061.9 75000 20.0 974.02 2825404 327183559 4168615 381439276 14625029127.0 55442647816.0 120876528698.0 79062403.0 0.0 0.0 0.0 0.0 517803.0 4277342
0 ebbrt_tuned 2 0xf00 55 37.7 38.3 44.2 57.0 60.5 66.5 75058.2 75000 20.0 974.45 2824343 326603288 4167247 381577862 14600496028.0 55468658210.0 120914843237.0 79720990.0 0.0 0.0 0.0 0.0 514839.0 4274467
0 ebbrt_tuned 4 0xf00 135 37.4 38.0 42.9 54.3 58.4 65.2 40003.6 40000 20.0 940.51 1574013 178287703 2222846 204707467 8018996549.0 32769184288.0 72994883840.0 44141901.0 0.0 0.0 0.0 0.0 508922.0 2362638
0 ebbrt_tuned 4 0xf00 75 37.9 38.5 43.6 54.7 59.0 65.7 40033.5 40000 20.0 942.81 1575540 178569713 2224721 205050186 8017084515.0 32598255324.0 72652650896.0 42915387.0 0.0 0.0 0.0 0.0 509433.0 2364723
0 ebbrt_tuned 4 0xf00 55 37.2 38.0 43.0 54.3 58.3 65.1 40012.8 40000 20.0 941.04 1573237 177918421 2221646 202658162 8003765793.0 32607748768.0 72666153180.0 42973121.0 0.0 0.0 0.0 0.0 508873.0 2362045
0 ebbrt_tuned 4 0xf00 135 37.6 38.2 44.0 56.8 60.4 66.4 74978.9 75000 20.0 974.42 2823824 327016239 4164705 383174281 14601480760.0 55594600167.0 121166330715.0 80068972.0 0.0 0.0 0.0 0.0 515360.0 4277269
0 ebbrt_tuned 4 0xf00 75 37.6 38.2 43.8 56.5 60.0 66.0 75052.1 75000 20.0 973.57 2824121 326555184 4168310 381138340 14620343153.0 55439695775.0 120863528955.0 77540482.0 0.0 0.0 0.0 0.0 516689.0 4278034
0 ebbrt_tuned 4 0xf00 55 37.7 38.4 44.2 57.0 60.2 66.3 75042.3 75000 20.0 974.89 2824291 326286926 4166513 380345036 14625740915.0 55973896886.0 121925511420.0 82521341.0 0.0 0.0 0.0 0.0 517097.0 4278906
0 ebbrt_tuned 10 0xf00 135 40.3 41.6 47.0 58.8 62.2 69.3 40018.8 40000 20.0 943.45 1571666 178295602 2222073 204009706 8004291992.0 33518766763.0 74447796281.0 44054228.0 0.0 0.0 0.0 0.0 511149.0 2299973
0 ebbrt_tuned 10 0xf00 75 41.4 42.0 47.8 59.2 63.0 70.4 40069.5 40000 20.0 944.59 1573794 178479359 2225581 203867965 8035795474.0 33990828217.0 75460543387.0 46256907.0 0.0 0.0 0.0 0.0 512272.0 2302583
0 ebbrt_tuned 10 0xf00 55 40.4 41.6 47.2 58.7 62.2 69.6 39960.1 40000 20.0 943.58 1569360 177736512 2219720 203493702 8000303327.0 33488613852.0 74379910616.0 44231214.0 0.0 0.0 0.0 0.0 510313.0 2297010
0 ebbrt_tuned 10 0xf00 135 41.4 42.2 49.3 61.0 65.2 71.9 74946.6 75000 20.0 976.94 2813241 326159629 4162016 382267033 14546567970.0 55710003911.0 121318905776.0 79514959.0 0.0 0.0 0.0 0.0 518825.0 4069918
0 ebbrt_tuned 10 0xf00 75 39.2 41.2 48.1 60.1 64.3 71.2 75035.2 75000 20.0 976.68 2812577 326663729 4167858 383826278 14596850148.0 56216674496.0 122348233864.0 82396422.0 0.0 0.0 0.0 0.0 519915.0 4073332
0 ebbrt_tuned 10 0xf00 55 41.2 41.9 48.7 60.4 64.5 71.2 74981.6 75000 20.0 976.22 2810647 326036887 4164162 381931002 14538054882.0 55754396201.0 121423944849.0 78813159.0 0.0 0.0 0.0 0.0 519890.0 4069076
0 ebbrt_tuned 20 0xf00 135 41.0 41.8 48.0 59.6 63.8 72.0 39970.9 40000 20.0 943.78 1568902 177606385 2218488 202408858 8007728217.0 33443615661.0 74379152614.0 44619243.0 0.0 0.0 0.0 0.0 511292.0 2278916
0 ebbrt_tuned 20 0xf00 75 39.2 41.1 46.8 59.0 62.9 71.1 40014.1 40000 20.0 941.94 1571894 177941826 2222151 203291560 7996528152.0 33211025365.0 73879952153.0 44942531.0 0.0 0.0 0.0 0.0 508106.0 2280285
0 ebbrt_tuned 20 0xf00 55 41.2 41.8 47.8 59.6 63.7 71.6 40035.0 40000 20.0 942.13 1572037 178049759 2221556 202353244 8019293061.0 33340865218.0 74157693041.0 45179532.0 0.0 0.0 0.0 0.0 509448.0 2281824
0 ebbrt_tuned 20 0xf00 135 39.9 41.6 49.3 61.8 65.6 73.6 74905.5 75000 20.0 973.61 2806017 324760846 4160410 380282958 14535115313.0 55157982125.0 120432741669.0 79081237.0 0.0 0.0 0.0 0.0 514894.0 3975407
0 ebbrt_tuned 20 0xf00 75 41.4 42.3 50.3 63.1 66.8 75.3 74951.2 75000 20.0 973.69 2808732 325853929 4163733 382476868 14526312825.0 55494236413.0 121104347826.0 80424061.0 0.0 0.0 0.0 0.0 512588.0 3976006
0 ebbrt_tuned 20 0xf00 55 40.1 41.7 49.5 62.0 65.9 74.2 74942.2 75000 20.0 974.59 2806721 324921499 4161627 380842654 14502107800.0 55395850879.0 120933520600.0 78013251.0 0.0 0.0 0.0 0.0 512944.0 3974851
