i sys itr dvfs rapl read_5th read_10th read_50th read_90th read_95th read_99th measure_qps target_qps time joules rx_desc rx_bytes tx_desc tx_bytes instructions cycles ref_cycles llc_miss c1 c1e c3 c6 c7 num_interrupts
0 linux_tuned 50 0xd00 135 60.9 63.5 86.5 113.4 120.7 140.1 200080.4 200000 20.0 1110.0 5024381 774393316 12085854 959209267 102540020120.0 206384099620.0 460411891770.0 251558200.0 3282844.0 1910656.0 41333.0 0.0 106404.0 5217306
1 linux_tuned 50 0xd00 135 60.5 63.1 86.3 112.6 119.0 138.9 199824.1 200000 20.0 1109.91 5029004 774772803 12071882 962549380 102400571055.0 206175317890.0 459946613102.0 250192714.0 3284289.0 1919080.0 40425.0 0.0 105222.0 5218634
2 linux_tuned 50 0xd00 135 59.8 62.7 85.5 111.8 117.5 138.4 200097.0 200000 20.01 1109.02 5024593 773865881 12089239 961994727 102416151605.0 205882616553.0 459293079310.0 247257329.0 3277882.0 1910497.0 41974.0 0.0 107184.0 5216732
3 linux_tuned 50 0xd00 135 61.0 63.7 86.5 113.3 120.6 140.1 199971.1 200000 20.0 1109.98 5018114 773690513 12078749 963304434 102497145924.0 207078277486.0 461961769742.0 257746906.0 3294747.0 1915711.0 40070.0 0.0 103463.0 5222262
4 linux_tuned 50 0xd00 135 60.1 62.8 85.7 112.3 118.0 138.0 200076.7 200000 20.01 1109.5 5027484 774795458 12083424 956378404 102436510011.0 205616699673.0 458699929202.0 247029481.0 3275353.0 1908294.0 42270.0 0.0 108220.0 5213584
0 linux_tuned 50 0xd00 95 60.6 63.1 85.9 112.7 119.0 137.8 200067.5 200000 20.01 1109.52 5035260 774571499 12086037 962284260 102459669692.0 205739014306.0 458972914467.0 250507673.0 3281835.0 1915130.0 41217.0 0.0 105862.0 5219158
1 linux_tuned 50 0xd00 95 61.4 64.0 86.9 113.4 120.1 138.5 199894.2 200000 20.01 1108.33 5029397 774230242 12074505 957787869 102349228982.0 205570692026.0 458597225615.0 248803503.0 3277153.0 1915907.0 41602.0 0.0 106545.0 5216618
2 linux_tuned 50 0xd00 95 61.1 63.7 86.7 113.3 120.3 139.3 200031.4 200000 20.01 1109.08 5028747 774891008 12083558 959166243 102472050299.0 206441889979.0 460541118467.0 252817564.0 3295363.0 1925111.0 40421.0 0.0 102461.0 5225197
3 linux_tuned 50 0xd00 95 60.4 63.0 85.6 112.3 118.4 138.2 200008.9 200000 20.01 1108.69 5035205 775122526 12083909 964900110 102313392811.0 205516852433.0 458477052428.0 248833582.0 3270374.0 1914869.0 41799.0 0.0 106988.0 5214229
4 linux_tuned 50 0xd00 95 59.8 62.7 85.5 112.1 118.4 137.5 199948.3 200000 20.01 1109.06 5037140 775223033 12078652 960631435 102495530190.0 205806788356.0 459124195171.0 249281629.0 3289266.0 1914491.0 40916.0 0.0 107252.0 5219795
